ID,話者,テキスト,表情,選択肢A,選択肢B,Aへの反応,ID,Bへの反応,ID
1,トリアージさん,「おはよー！ 君が今日からバイトに来てくれるＴ橋技大の学生くんね？ 待ってたわよ、まさに『地獄に仏』って感じ！」,happy,,,,,,
2,主人公,（うわ、すごいネイル……。それに、思ったよりグイグイ来る人だな。Ｔ橋技大ってだけで期待されてるのが肌でわかる……怖い……）,nervous,,,,,,
3,トリアージさん,「私はトリアージ」,happy,,,,,,
4,トリアージさん,「ここは今、人手が足りなすぎて……」,laughing,,,,,,
5,トリアージさん,「特に泌尿器科は男性患者さんが多いから、君みたいな男子がいてくれるだけで『心のオアシス』なのよ！」,laughing,「全力で癒やします！」,「……精一杯、努めます」,「あはは！ 頼もしいわね、期待してるわよ！」,4_1,「そんなに固くならないで！ 気楽にね？」,4_2
6,トリアージさん,「あと、一番助かるのが君が『Ｔ橋家庭技術大学』の学生だってこと！ 」,laughing,,,,,,
7,トリアージさん,「今、うちは絶賛『電子カルテ導入』の真っ最中なんだけど……これがもう、カオスなのよ。」,smile,,,,,,
8,トリアージさん,「例えるなら、『最新の全自動洗濯機を買ったのに、なぜか横にタライと洗濯板が置いてあって、両方同時に使わなきゃいけない……』みたいな状態ね。」,annoyed,,,,,,
9,主人公,「……それは、かなり効率が悪そうですね……。」,sweat,,,,,,
10,トリアージさん,「そうなの！ 紙カルテと電子カルテが共存してるから、すぐエラーが出るの」,sweat,,,,,,
11,トリアージさん,「でも、Ｔ橋技大の人なら、プログラミングとかでササッと解決してくれたりして！」,wink,「え、ええ……（笑顔で濁す）」,「い、いや……（目をそらす）」,「やっぱり！ 専門家の余裕ね、心強いわ！」,11_1,「あら、照れ屋ね？ でも隠さなくていいわよ！」,11_2
12,トリアージさん,「冗談よ！ でも、頼りにしてるのは本当。さあ、いい働きを期待しているわ」,happy,,,,,,
